id_tipo_carencia_material,id_regimen_tenencia_carencia_material,Anyo,Valor
2,5,2010,5.1
2,5,2009,7.0
2,5,2008,5.2
3,5,2024,29.9
3,5,2023,33.3
3,5,2022,26.6
3,5,2021,25.9
3,5,2020,23.0
3,5,2019,16.8
3,5,2018,15.3
3,5,2017,14.6
3,5,2016,17.9
3,5,2015,21.7
3,5,2014,17.9
3,5,2013,16.3
3,5,2012,17.4
3,5,2011,13.0
3,5,2010,12.1
3,5,2009,15.5
3,5,2008,14.9
4,5,2024,60.5
4,5,2023,60.2
4,5,2022,59.9
4,5,2021,58.8
4,5,2020,59.3
4,5,2019,55.2
4,5,2018,56.8
4,5,2017,60.1
4,5,2016,60.1
4,5,2015,62.8
4,5,2014,68.4
4,5,2013,68.5
4,5,2012,67.1
4,5,2011,64.4
4,5,2010,64.3
4,5,2009,65.6
4,5,2008,55.7
5,5,2024,27.1
5,5,2023,27.5
5,5,2022,28.1
5,5,2021,29.7
5,5,2020,31.3
5,5,2019,16.9
5,5,2018,17.5
5,5,2017,18.6
5,5,2016,20.9
5,5,2015,25.5
5,5,2014,24.6
5,5,2013,21.8
5,5,2012,22.7
5,5,2011,18.2
5,5,2010,24.9
5,5,2009,20.6
5,5,2008,12.9
6,5,2024,30.7
6,5,2023,30.3
6,5,2022,30.6
6,5,2021,32.6
6,5,2020,34.2
6,5,2019,18.1
6,5,2018,18.5
6,5,2017,19.4
6,5,2016,21.9
6,5,2015,26.4
6,5,2014,25.9
6,5,2013,22.9
6,5,2012,24.3
6,5,2011,19.5
6,5,2010,27.8
6,5,2009,24.0
6,5,2008,16.6
7,5,2024,16.9
7,5,2023,16.2
7,5,2022,16.1
7,5,2021,16.3
7,5,2020,18.1
7,5,2019,15.8
7,5,2018,16.8
7,5,2017,14.1
7,5,2016,18.7
7,5,2015,18.6
7,5,2014,19.0
7,5,2013,20.1
7,5,2012,19.9
7,5,2011,21.7
7,5,2010,23.3
7,5,2009,20.0
7,5,2008,22.4
8,5,2024,12.9
8,5,2023,13.6
8,5,2022,13.3
8,5,2021,15.0
8,5,2020,17.2
8,5,2019,14.3
8,5,2018,14.0
8,5,2017,12.4
8,5,2016,15.2
8,5,2015,16.7
8,5,2014,15.1
8,5,2013,14.8
8,5,2012,15.0
8,5,2011,15.1
8,5,2010,19.1
8,5,2009,21.1
8,5,2008,25.1
9,5,2024,42.4
9,5,2023,44.9
9,5,2022,42.5
9,5,2021,43.2
9,5,2020,51.1
9,5,2019,47.4
9,5,2018,47.0
9,5,2017,48.5
9,5,2016,53.4
9,5,2015,51.2
9,5,2014,55.3
9,5,2013,59.8
9,5,2009,52.9
1,6,2024,49.2
1,6,2023,55.6
1,6,2022,58.4
1,6,2021,57.2
1,6,2020,60.6
1,6,2019,66.3
1,6,2018,63.5
1,6,2017,73.5
1,6,2016,77.4
1,6,2015,73.2
1,6,2014,78.4
1,6,2013,75.8
1,6,2012,67.4
1,6,2011,65.0
1,6,2010,61.2
1,6,2009,64.0
1,6,2008,57.8
2,6,2024,13.7
2,6,2023,16.0
2,6,2022,13.6
2,6,2021,11.4
2,6,2020,9.0
2,6,2019,10.5
2,6,2018,10.2
2,6,2017,12.3
2,6,2016,11.9
2,6,2015,10.6
2,6,2014,14.6
2,6,2013,8.8
2,6,2012,8.0
2,6,2011,9.2
2,6,2010,4.2
2,6,2009,1.9
2,6,2008,4.8
3,6,2024,29.0
3,6,2023,31.8
3,6,2022,36.2
3,6,2021,32.4
3,6,2020,17.7
3,6,2019,25.7
3,6,2018,22.3
3,6,2017,29.7
3,6,2016,30.4
3,6,2015,22.5
3,6,2014,29.5
3,6,2013,13.4
3,6,2012,22.9
3,6,2011,12.2
3,6,2010,12.3
3,6,2009,12.4
3,6,2008,10.6
4,6,2024,65.0
4,6,2023,68.6
4,6,2022,68.5
4,6,2021,69.9
4,6,2020,70.2
4,6,2019,69.3
4,6,2018,71.4
4,6,2017,74.6
4,6,2016,80.3
4,6,2015,80.9
4,6,2014,81.8
4,6,2013,72.1
4,6,2012,73.9
4,6,2011,63.1
4,6,2010,68.1
4,6,2009,65.7
4,6,2008,50.5
5,6,2024,26.7
5,6,2023,29.7
5,6,2022,32.7
5,6,2021,33.4
5,6,2020,35.5
5,6,2019,29.5
5,6,2018,27.1
5,6,2017,31.5
5,6,2016,35.6
5,6,2015,38.3
5,6,2014,42.3
5,6,2013,27.8
5,6,2012,24.4
5,6,2011,19.8
5,6,2010,27.3
5,6,2009,22.3
5,6,2008,19.1
6,6,2024,30.9
6,6,2023,33.0
6,6,2022,34.6
6,6,2021,35.9
6,6,2020,36.8
6,6,2019,30.4
6,6,2018,28.4
6,6,2017,32.2
6,6,2016,40.7
6,6,2015,40.1
6,6,2014,43.2
6,6,2013,30.9
6,6,2012,24.9
6,6,2011,22.0
6,6,2010,30.4
6,6,2009,24.0
6,6,2008,22.4
7,6,2024,13.8
7,6,2023,17.9
7,6,2022,21.2
7,6,2021,14.3
7,6,2020,13.6
7,6,2019,15.7
7,6,2018,14.4
7,6,2017,20.0
7,6,2016,26.2
7,6,2015,29.3
7,6,2014,27.9
7,6,2013,26.2
7,6,2012,14.6
7,6,2011,12.6
7,6,2010,17.1
7,6,2009,20.0
7,6,2008,19.5
8,6,2024,16.6
8,6,2023,15.6
8,6,2022,15.1
8,6,2021,15.8
8,6,2020,14.4
8,6,2019,16.9
8,6,2018,16.4
8,6,2017,21.3
8,6,2016,35.7
8,6,2015,25.6
8,6,2014,23.3
8,6,2013,18.0
8,6,2012,17.6
8,6,2011,12.4
8,6,2010,16.2
8,6,2009,17.6
8,6,2008,16.5
9,6,2024,47.1
9,6,2023,49.6
9,6,2022,47.8
9,6,2021,56.2
9,6,2020,55.7
9,6,2019,60.0
9,6,2018,61.2
9,6,2017,71.1
9,6,2016,75.5
9,6,2015,74.6
9,6,2014,75.0
9,6,2013,72.4
9,6,2009,64.6
1,7,2024,41.4
1,7,2023,38.4
1,7,2022,39.3
1,7,2021,38.6
1,7,2020,44.7
1,7,2019,45.8
1,7,2018,44.3
1,7,2017,46.4
1,7,2016,48.5
1,7,2015,50.5
1,7,2014,49.8
1,7,2013,53.0
1,7,2012,53.3
1,7,2011,42.7
1,7,2010,47.7
1,7,2009,48.6
1,7,2008,45.3
2,7,2024,7.1
2,7,2023,7.8
2,7,2022,5.3
2,7,2021,6.6
2,7,2020,7.8
2,7,2019,8.5
2,7,2018,6.2
2,7,2017,6.4
2,7,2016,3.9
2,7,2015,3.9
2,7,2014,5.9
2,7,2013,7.4
2,7,2012,2.0
2,7,2011,2.9
2,7,2010,2.9
2,7,2009,2.3
2,7,2008,4.6
3,7,2024,18.3
3,7,2023,21.4
3,7,2022,19.6
3,7,2021,16.3
3,7,2020,13.9
3,7,2019,9.4
3,7,2018,11.7
3,7,2017,11.6
3,7,2016,10.9
3,7,2015,15.2
3,7,2014,14.0
3,7,2013,11.2
3,7,2012,11.4
3,7,2011,8.4
3,7,2010,8.3
3,7,2009,9.0
3,7,2008,6.9
4,7,2024,42.0
4,7,2023,42.5
4,7,2022,44.1
4,7,2021,37.9
4,7,2020,41.3
4,7,2019,45.2
4,7,2018,42.4
4,7,2017,46.6
4,7,2016,50.0
4,7,2015,48.1
4,7,2014,51.4
4,7,2013,51.3
4,7,2012,48.4
4,7,2011,39.5
4,7,2010,45.2
4,7,2009,45.6
4,7,2008,37.4
5,7,2024,10.5
5,7,2023,9.4
5,7,2022,10.4
5,7,2021,13.6
5,7,2020,13.4
5,7,2019,8.7
5,7,2018,10.3
5,7,2017,10.2
5,7,2016,8.6
5,7,2015,9.8
5,7,2014,8.2
5,7,2013,7.4
5,7,2012,8.2
5,7,2011,7.8
5,7,2010,8.1
5,7,2009,9.7
5,7,2008,6.1
6,7,2024,14.4
6,7,2023,13.3
6,7,2022,12.6
6,7,2021,15.6
6,7,2020,15.4
6,7,2019,9.4
6,7,2018,11.5
6,7,2017,11.4
6,7,2016,10.2
6,7,2015,11.8
6,7,2014,10.2
6,7,2013,9.8
6,7,2012,10.8
6,7,2011,10.0
6,7,2010,11.3
6,7,2009,14.0
6,7,2008,8.0
7,7,2024,5.8
7,7,2023,7.0
7,7,2022,6.4
7,7,2021,6.1
7,7,2020,5.5
7,7,2019,6.3
7,7,2018,8.7
7,7,2017,7.8
7,7,2016,9.6
7,7,2015,5.2
7,7,2014,8.3
7,7,2013,5.8
7,7,2012,6.5
7,7,2011,8.0
7,7,2010,3.7
7,7,2009,8.0
7,7,2008,6.6
8,7,2024,7.7
8,7,2023,7.7
8,7,2022,10.1
8,7,2021,8.8
8,7,2020,8.0
8,7,2019,9.4
8,7,2018,8.7
8,7,2017,6.3
8,7,2016,10.7
8,7,2015,12.0
8,7,2014,11.2
8,7,2013,9.5
8,7,2012,13.5
8,7,2011,8.3
8,7,2010,10.3
8,7,2009,11.4
8,7,2008,10.0
9,7,2024,31.1
9,7,2023,35.8
9,7,2022,31.7
9,7,2021,33.7
9,7,2020,33.6
9,7,2019,39.6
9,7,2018,36.6
9,7,2017,43.1
9,7,2016,48.1
9,7,2015,44.7
9,7,2014,46.1
9,7,2013,50.3
9,7,2009,45.2
