id_tipo_renta_tipohogar,id_tipo_hogar_renta,Anyo,Valor
4,4,2016,18950.0
4,4,2015,18518.0
4,4,2014,19459.0
4,4,2013,19784.0
4,4,2012,20184.0
4,4,2011,20291.0
4,4,2010,20985.0
4,4,2009,21420.0
4,4,2008,20526.0
1,5,2024,9653.0
1,5,2023,8907.0
1,5,2022,8786.0
1,5,2021,7626.0
1,5,2020,8482.0
1,5,2019,8471.0
1,5,2018,8156.0
1,5,2017,8148.0
1,5,2016,8256.0
1,5,2015,7422.0
1,5,2014,7134.0
1,5,2013,7420.0
1,5,2012,7937.0
1,5,2011,7434.0
1,5,2010,7370.0
1,5,2009,7655.0
1,5,2008,7760.0
2,5,2024,14732.0
2,5,2023,13679.0
2,5,2022,13413.0
2,5,2021,11737.0
2,5,2020,13125.0
2,5,2019,12940.0
2,5,2018,12329.0
2,5,2017,12191.0
2,5,2016,12519.0
2,5,2015,11504.0
2,5,2014,11052.0
2,5,2013,11413.0
2,5,2012,12346.0
2,5,2011,11480.0
2,5,2010,11378.0
2,5,2009,11892.0
2,5,2008,11811.0
3,5,2024,11448.0
3,5,2023,10703.0
3,5,2022,10658.0
3,5,2021,9279.0
3,5,2020,10243.0
3,5,2019,10297.0
3,5,2018,10030.0
3,5,2017,9872.0
3,5,2016,9747.0
3,5,2015,8821.0
3,5,2014,8608.0
3,5,2013,8832.0
3,5,2012,9447.0
3,5,2011,9052.0
3,5,2010,8916.0
3,5,2009,9072.0
3,5,2008,9311.0
4,5,2024,17463.0
4,5,2023,16408.0
4,5,2022,16273.0
4,5,2021,14261.0
4,5,2020,15818.0
4,5,2019,15719.0
4,5,2018,15177.0
4,5,2017,14806.0
4,5,2016,14790.0
4,5,2015,13653.0
4,5,2014,13297.0
4,5,2013,13563.0
4,5,2012,14682.0
4,5,2011,13962.0
4,5,2010,13761.0
4,5,2009,14055.0
4,5,2008,14162.0
1,6,2024,11875.0
1,6,2023,11526.0
1,6,2022,10655.0
1,6,2021,10079.0
1,6,2020,10115.0
1,6,2019,9760.0
1,6,2018,9663.0
1,6,2017,9223.0
1,6,2016,8956.0
1,6,2015,8632.0
1,6,2014,8558.0
1,6,2013,8503.0
1,6,2012,8905.0
1,6,2011,9115.0
1,6,2010,9514.0
1,6,2009,9444.0
1,6,2008,9057.0
2,6,2024,20524.0
2,6,2023,19887.0
2,6,2022,18489.0
2,6,2021,17496.0
2,6,2020,17573.0
2,6,2019,17026.0
2,6,2018,16891.0
2,6,2017,16082.0
2,6,2016,15613.0
2,6,2015,15073.0
2,6,2014,14934.0
2,6,2013,14834.0
2,6,2012,15502.0
2,6,2011,15820.0
2,6,2010,16543.0
2,6,2009,16501.0
2,6,2008,15760.0
3,6,2024,13144.0
3,6,2023,12849.0
3,6,2022,12020.0
3,6,2021,11393.0
3,6,2020,11416.0
3,6,2019,11002.0
3,6,2018,10873.0
3,6,2017,10383.0
3,6,2016,10024.0
3,6,2015,9642.0
3,6,2014,9576.0
3,6,2013,9450.0
3,6,2012,9862.0
3,6,2011,10210.0
3,6,2010,10608.0
3,6,2009,10416.0
3,6,2008,10066.0
4,6,2024,22696.0
4,6,2023,22152.0
4,6,2022,20842.0
4,6,2021,19761.0
4,6,2020,19824.0
4,6,2019,19186.0
4,6,2018,18993.0
4,6,2017,18089.0
4,6,2016,17459.0
4,6,2015,16824.0
4,6,2014,16697.0
4,6,2013,16476.0
4,6,2012,17162.0
4,6,2011,17720.0
4,6,2010,18440.0
4,6,2009,18184.0
4,6,2008,17507.0
1,7,2024,11036.0
1,7,2023,10360.0
1,7,2022,9682.0
1,7,2021,8935.0
1,7,2020,8808.0
1,7,2019,8574.0
1,7,2018,8389.0
1,7,2017,8146.0
1,7,2016,7482.0
1,7,2015,7357.0
1,7,2014,7308.0
1,7,2013,7447.0
1,7,2012,7824.0
1,7,2011,8299.0
1,7,2010,8357.0
1,7,2009,8353.0
1,7,2008,7774.0
2,7,2024,19013.0
2,7,2023,17742.0
2,7,2022,16546.0
2,7,2021,15384.0
2,7,2020,15189.0
2,7,2019,14849.0
2,7,2018,14456.0
2,7,2017,14025.0
2,7,2016,12869.0
2,7,2015,12608.0
2,7,2014,12498.0
2,7,2013,12741.0
2,7,2012,13620.0
2,7,2011,14425.0
2,7,2010,14414.0
2,7,2009,14410.0
2,7,2008,13430.0
3,7,2024,12020.0
3,7,2023,11357.0
3,7,2022,10710.0
3,7,2021,9906.0
3,7,2020,9732.0
3,7,2019,9476.0
3,7,2018,9314.0
3,7,2017,9037.0
3,7,2016,8345.0
3,7,2015,8199.0
3,7,2014,8169.0
3,7,2013,8165.0
3,7,2012,8572.0
3,7,2011,9138.0
3,7,2010,9174.0
3,7,2009,9089.0
3,7,2008,8556.0
4,7,2024,20699.0
4,7,2023,19434.0
4,7,2022,18293.0
4,7,2021,17046.0
4,7,2020,16778.0
4,7,2019,16401.0
4,7,2018,16036.0
4,7,2017,15556.0
4,7,2016,14345.0
4,7,2015,14050.0
4,7,2014,13964.0
4,7,2013,13965.0
4,7,2012,14896.0
4,7,2011,15861.0
4,7,2010,15815.0
4,7,2009,15664.0
4,7,2008,14768.0
1,8,2024,10914.0
1,8,2023,10668.0
1,8,2022,11113.0
1,8,2021,9207.0
1,8,2020,10589.0
1,8,2019,10087.0
1,8,2018,9563.0
1,8,2017,10126.0
1,8,2016,8450.0
1,8,2015,9685.0
1,8,2014,12357.0
1,8,2013,11061.0
1,8,2012,18476.0
1,8,2011,11059.0
1,8,2010,8522.0
1,8,2008,10690.0
2,8,2024,18346.0
2,8,2023,17803.0
2,8,2022,17849.0
2,8,2021,14486.0
2,8,2020,16763.0
2,8,2019,16826.0
2,8,2018,15073.0
2,8,2017,15614.0
2,8,2016,13209.0
2,8,2015,15543.0
2,8,2014,19772.0
2,8,2013,17624.0
2,8,2012,27714.0
2,8,2011,16689.0
2,8,2010,13877.0
2,8,2008,17104.0
3,8,2024,11794.0
3,8,2023,12053.0
3,8,2022,12344.0
3,8,2021,10550.0
3,8,2020,12046.0
3,8,2019,11011.0
3,8,2018,11036.0
3,8,2017,11791.0
3,8,2016,9419.0
3,8,2015,10910.0
3,8,2014,13637.0
3,8,2013,12430.0
3,8,2012,20458.0
3,8,2011,13456.0
3,8,2010,9436.0
3,8,2008,10690.0
4,8,2024,19752.0
4,8,2023,20136.0
4,8,2022,19830.0
4,8,2021,16608.0
4,8,2020,19065.0
4,8,2019,18347.0
4,8,2018,17408.0
4,8,2017,18194.0
4,8,2016,14690.0
4,8,2015,17492.0
4,8,2014,21819.0
4,8,2013,19799.0
4,8,2012,30687.0
4,8,2011,20304.0
4,8,2010,15356.0
4,8,2008,17104.0
