id_tipo_renta_urbanizacion,id_grado_urbanizacion_renta,Anyo,Valor
2,4,2015,12629.0
2,4,2014,12716.0
2,4,2013,12875.0
2,4,2012,13588.0
2,4,2011,13693.0
2,4,2010,14479.0
2,4,2009,14771.0
2,4,2008,13896.0
3,4,2024,14846.0
3,4,2023,14226.0
3,4,2022,13629.0
3,4,2021,12853.0
3,4,2020,12110.0
3,4,2019,11379.0
3,4,2018,11003.0
3,4,2017,10775.0
3,4,2016,10263.0
3,4,2015,9953.0
3,4,2014,9902.0
3,4,2013,9835.0
3,4,2012,10265.0
3,4,2011,10438.0
3,4,2010,10899.0
3,4,2009,10891.0
3,4,2008,10315.0
4,4,2024,21552.0
4,4,2023,20458.0
4,4,2022,19727.0
4,4,2021,18640.0
4,4,2020,17740.0
4,4,2019,16727.0
4,4,2018,16252.0
4,4,2017,15855.0
4,4,2016,15102.0
4,4,2015,14613.0
4,4,2014,14595.0
4,4,2013,14578.0
4,4,2012,15314.0
4,4,2011,15634.0
4,4,2010,16350.0
4,4,2009,16351.0
4,4,2008,15560.0
