id_tipo_renta_tenencia,id_categoria_tenencia,Anyo,Valor
1,5,2017,8547.0
1,5,2016,8322.0
1,5,2015,7955.0
1,5,2014,7591.0
1,5,2013,7698.0
1,5,2012,7607.0
1,5,2011,7458.0
1,5,2010,7839.0
1,5,2009,7806.0
1,5,2008,7477.0
2,5,2024,17323.0
2,5,2023,16805.0
2,5,2022,14870.0
2,5,2021,13363.0
2,5,2020,13891.0
2,5,2019,13135.0
2,5,2018,13317.0
2,5,2017,12488.0
2,5,2016,12158.0
2,5,2015,11477.0
2,5,2014,11070.0
2,5,2013,11454.0
2,5,2012,11649.0
2,5,2011,11114.0
2,5,2010,11719.0
2,5,2009,11795.0
2,5,2008,11193.0
3,5,2024,11786.0
3,5,2023,11402.0
3,5,2022,10032.0
3,5,2021,9033.0
3,5,2020,9344.0
3,5,2019,8888.0
3,5,2018,8986.0
3,5,2017,8547.0
3,5,2016,8322.0
3,5,2015,7955.0
3,5,2014,7591.0
3,5,2013,7698.0
3,5,2012,7607.0
3,5,2011,7458.0
3,5,2010,7839.0
3,5,2009,7806.0
3,5,2008,7477.0
4,5,2024,17323.0
4,5,2023,16805.0
4,5,2022,14870.0
4,5,2021,13363.0
4,5,2020,13891.0
4,5,2019,13135.0
4,5,2018,13317.0
4,5,2017,12488.0
4,5,2016,12158.0
4,5,2015,11477.0
4,5,2014,11070.0
4,5,2013,11454.0
4,5,2012,11649.0
4,5,2011,11114.0
4,5,2010,11719.0
4,5,2009,11795.0
4,5,2008,11193.0
1,6,2024,10739.0
1,6,2023,9509.0
1,6,2022,8679.0
1,6,2021,8202.0
1,6,2020,8757.0
1,6,2019,7523.0
1,6,2018,7338.0
1,6,2017,5860.0
1,6,2016,5845.0
1,6,2015,5992.0
1,6,2014,6270.0
1,6,2013,7016.0
1,6,2012,8029.0
1,6,2011,8690.0
1,6,2010,8752.0
1,6,2009,8937.0
1,6,2008,8161.0
2,6,2024,15799.0
2,6,2023,13924.0
2,6,2022,12828.0
2,6,2021,11883.0
2,6,2020,12607.0
2,6,2019,10734.0
2,6,2018,10124.0
2,6,2017,8475.0
2,6,2016,8768.0
2,6,2015,8723.0
2,6,2014,9205.0
2,6,2013,10528.0
2,6,2012,11495.0
2,6,2011,12310.0
2,6,2010,12407.0
2,6,2009,12741.0
2,6,2008,11682.0
3,6,2024,11912.0
3,6,2023,10674.0
3,6,2022,9704.0
3,6,2021,9288.0
3,6,2020,9869.0
3,6,2019,8739.0
3,6,2018,8728.0
3,6,2017,7040.0
3,6,2016,7106.0
3,6,2015,7128.0
3,6,2014,7432.0
3,6,2013,7970.0
3,6,2012,9040.0
3,6,2011,9802.0
3,6,2010,9921.0
3,6,2009,10129.0
3,6,2008,9389.0
4,6,2024,17428.0
4,6,2023,15563.0
4,6,2022,14300.0
4,6,2021,13405.0
4,6,2020,14167.0
4,6,2019,12469.0
4,6,2018,11980.0
4,6,2017,10144.0
4,6,2016,10618.0
4,6,2015,10357.0
4,6,2014,10858.0
4,6,2013,11930.0
4,6,2012,12880.0
4,6,2011,13860.0
4,6,2010,14012.0
4,6,2009,14399.0
4,6,2008,13389.0
1,7,2024,11960.0
1,7,2023,11919.0
1,7,2022,10513.0
1,7,2021,9764.0
1,7,2020,9640.0
1,7,2019,8879.0
1,7,2018,8831.0
1,7,2017,8480.0
1,7,2016,8487.0
1,7,2015,8167.0
1,7,2014,7762.0
1,7,2013,7941.0
1,7,2012,8473.0
1,7,2011,8811.0
1,7,2010,9613.0
1,7,2009,9361.0
1,7,2008,8578.0
2,7,2024,17106.0
2,7,2023,17053.0
2,7,2022,14924.0
2,7,2021,14238.0
2,7,2020,13943.0
2,7,2019,12787.0
