id_decil_renta,id_regimen_tenencia_decil_renta,Anyo,Valor
5,2,2011,10.1
5,2,2010,10.2
5,2,2009,10.2
5,2,2008,10.5
6,2,2024,10.8
6,2,2023,10.1
6,2,2022,10.8
6,2,2021,10.7
6,2,2020,10.8
6,2,2019,10.8
6,2,2018,10.8
6,2,2017,10.8
6,2,2016,10.7
6,2,2015,10.6
6,2,2014,10.4
6,2,2013,10.5
6,2,2012,10.4
6,2,2011,10.1
6,2,2010,10.1
6,2,2009,10.2
6,2,2008,10.4
7,2,2024,11.0
7,2,2023,10.9
7,2,2022,11.0
7,2,2021,11.3
7,2,2020,11.3
7,2,2019,11.1
7,2,2018,11.3
7,2,2017,10.9
7,2,2016,10.8
7,2,2015,10.4
7,2,2014,10.7
7,2,2013,11.1
7,2,2012,10.8
7,2,2011,10.8
7,2,2010,10.8
7,2,2009,10.5
7,2,2008,10.7
8,2,2024,11.2
8,2,2023,11.0
8,2,2022,11.2
8,2,2021,11.5
8,2,2020,11.3
8,2,2019,11.3
8,2,2018,11.3
8,2,2017,11.4
8,2,2016,11.0
8,2,2015,11.2
8,2,2014,11.3
8,2,2013,11.1
8,2,2012,11.1
8,2,2011,10.9
8,2,2010,11.0
8,2,2009,11.0
8,2,2008,10.8
9,2,2024,11.7
9,2,2023,11.5
9,2,2022,11.4
9,2,2021,11.4
9,2,2020,11.7
9,2,2019,11.7
9,2,2018,11.6
9,2,2017,11.5
9,2,2016,11.5
9,2,2015,11.3
9,2,2014,11.3
9,2,2013,11.3
9,2,2012,11.7
9,2,2011,11.3
9,2,2010,11.2
9,2,2009,11.4
9,2,2008,11.5
10,2,2024,12.0
10,2,2023,11.7
10,2,2022,11.7
10,2,2021,11.8
10,2,2020,11.7
10,2,2019,11.8
10,2,2018,11.3
10,2,2017,11.6
10,2,2016,11.4
10,2,2015,11.7
10,2,2014,11.8
10,2,2013,11.8
10,2,2012,11.6
10,2,2011,11.8
10,2,2010,11.6
10,2,2009,11.7
10,2,2008,11.5
1,3,2024,7.0
1,3,2023,7.1
1,3,2022,7.1
1,3,2021,6.3
1,3,2020,6.3
1,3,2019,6.0
1,3,2018,6.9
1,3,2017,6.7
1,3,2016,6.6
1,3,2015,6.3
1,3,2014,6.7
1,3,2013,6.8
1,3,2012,6.5
1,3,2011,7.0
1,3,2010,6.8
2,3,2024,9.0
2,3,2023,10.2
2,3,2022,9.6
2,3,2021,9.3
2,3,2020,9.6
2,3,2019,9.0
2,3,2018,8.8
2,3,2017,8.9
2,3,2016,9.1
2,3,2015,9.2
2,3,2014,7.4
2,3,2013,8.7
2,3,2012,9.1
2,3,2011,9.7
2,3,2010,10.0
3,3,2024,9.6
3,3,2023,9.9
3,3,2022,10.1
3,3,2021,9.9
3,3,2020,9.9
3,3,2019,10.8
3,3,2018,10.7
3,3,2017,10.0
3,3,2016,9.9
3,3,2015,10.2
3,3,2014,10.4
3,3,2013,10.2
3,3,2012,10.1
3,3,2011,10.1
3,3,2010,11.0
4,3,2024,9.4
